code,name
GOOG/SHA_600143,Kingfa Sci &amp;Tech Co Ltd (600143)
GOOG/SHA_600145,Xinjiang Yilu Wanyun Indu Inv Hldg CoLtd (600145)
GOOG/SHA_600146,"Ningxia Dayuan Chemical Co., Ltd. (600146)"
GOOG/SHA_600148,"Changchun Yidong Clutch Co.,Ltd. (600148)"
GOOG/SHA_600149,Langfang Development Co Ltd (600149)
GOOG/SHA_600150,"China State Shipbuilding Co., Ltd. (600150)"
GOOG/SHA_600151,Shanghai Aero Auto Electromechanical (600151)
GOOG/SHA_600152,"Ningbo Veken Elite Group Co., Ltd. (600152)"
GOOG/SHA_600153,Xiamen C&amp;D Inc. (600153)
GOOG/SHA_600155,"Hebei Baoshuo Co.,Ltd (600155)"
GOOG/SHA_600156,"Hunan Huasheng Co., Ltd. (600156)"
GOOG/SHA_600157,Wintime Energy Co Ltd (600157)
GOOG/SHA_600158,"China Sports Industry Group Co., Ltd. (600158)"
GOOG/SHA_600159,Beijing Dalong Weiye Real Estate (600159)
GOOG/SHA_600160,"Zhejiang Juhua Co., Ltd (600160)"
GOOG/SHA_600161,Beijing Tiantan Biological Products Corp (600161)
GOOG/SHA_600162,"Shenzhen Heungkong Holding Co., Ltd. (600162)"
GOOG/SHA_600163,"Nanzhi Co., Ltd., Fujian (600163)"
GOOG/SHA_600165,Ningxia Xinri Hengli Steel Wire Co Ltd (600165)
GOOG/SHA_600166,Beiqi Foton Motor Company Limited (600166)
GOOG/SHA_600167,Luenmei Holding Co Ltd (600167)
GOOG/SHA_600168,"Wuhan Sanzhen Industry Holding Co., Ltd (600168)"
GOOG/SHA_600169,"Taiyuan Heavy Industry Co., Ltd. (600169)"
GOOG/SHA_600170,"Shanghai Construction Group Co., Ltd. (600170)"
GOOG/SHA_600171,"Shanghai Belling Co., Ltd. (600171)"
GOOG/SHA_600172,"Henan Huanghe Whirlwind Co., Ltd. (600172)"
GOOG/SHA_600173,"Wolong Real Estate Group Co., Ltd. (600173)"
GOOG/SHA_600175,MeiDu Energy Corp (600175)
GOOG/SHA_600176,China Jushi Co Ltd (600176)
GOOG/SHA_600177,"Youngor Group Co., Ltd. (600177)"
GOOG/SHA_600178,"Harbin Dongan Auto Engine Co., Ltd (600178)"
GOOG/SHA_600179,"HeiLongJiang HeiHua Co., Ltd. (600179)"
GOOG/SHA_600180,CCS Supply Chain Management Co Ltd (600180)
GOOG/SHA_600182,Giti Tire Corporation (600182)
GOOG/SHA_600183,Shengyi Technology Co Ltd (600183)
GOOG/SHA_600184,North Electro-Optic Co Ltd (600184)
GOOG/SHA_600185,Gree Real Estate Co Ltd (600185)
GOOG/SHA_600186,"Henan Lianhua Gourmet Powder Co., Ltd (600186)"
GOOG/SHA_600187,Heilongjiang Intrchna Watrtrertmt Co Ltd (600187)
GOOG/SHA_600188,Yanzhou Coal Mining Co Ltd (600188)
GOOG/SHA_600189,"JiLin Forest Industry Co.,Ltd. (600189)"
GOOG/SHA_600190,"Jinzhou Port Co., Ltd. (600190)"
GOOG/SHA_600191,"Baotou Huazi Industry Co., Ltd (600191)"
GOOG/SHA_600192,"Lanzhou Great Wall Electrical Co., Ltd. (600192)"
GOOG/SHA_600193,Shanghai Prosolar Resources Development (600193)
GOOG/SHA_600195,"China Animal Husbandry Industry Co., Ltd (600195)"
GOOG/SHA_600196,Shanghai Fosun Pharmaceutical (Group) (600196)
GOOG/SHA_600197,"Xinjiang Yilite Industry Co., Ltd. (600197)"
GOOG/SHA_600198,"Datang Telecom Technology Co., Ltd (600198)"
GOOG/SHA_600199,"Anhui Golden Seed Winery Co., Ltd. (600199)"
GOOG/SHA_600200,"Jiangsu Wuzhong Industrial Co., Ltd (600200)"
GOOG/SHA_600201,Inner Mongolia Jinyu Group Co Ltd (600201)
GOOG/SHA_600202,Harbin Air Conditioning Co Ltd (600202)
GOOG/SHA_600203,"Fujian Furi Electronics Co., Ltd. (600203)"
GOOG/SHA_600206,Grinm Advanced Materials Co Ltd (600206)
GOOG/SHA_600207,"Henan Ancai Hi-tech Co., Ltd (600207)"
GOOG/SHA_600208,Xinhu Zhongbao Co Ltd (600208)
GOOG/SHA_600209,Lawton Development Co Ltd (600209)
GOOG/SHA_600210,Shanghai Zijiang Enterprise Group Co Ltd (600210)
GOOG/SHA_600211,Tibet Rhodiola Pharmaceutical Holding Co (600211)
GOOG/SHA_600212,"Shandong Jiangquan Industry Co., Ltd (600212)"
GOOG/SHA_600213,"Yangzhou Yaxing Motor Coach Co.,Ltd (600213)"
